Tweets,Final
@MooreForAll i’m fr ??,Neutral
RT @EsperDoD: 2 of 3: Qatar’s long-standing willingness to host U.S. forces and generous offer to improve facilities at Al-Udeid Air Base a…,Neutral
well this explains idol i guess ??????,Neutral
RT @9uxB3: @buseoks @serendipitune Hi I am a german artist who is obsessed with bts! If you want to find me my username on Instagram is @pu…,Neutral
RT @seokjinbit: YALL THESE FITS WERE A WHOLE OTHER BREED I https://t.co/CqB0qHXh1h,Neutral
RT @mrobmsu: Jeffrey Epstein taught calculus and physics at the Dalton School (a private school in Manhattan) from 1973 to 1975 but never…,Neutral
YESSIRRR!!!! Congratulations Taurus!!!!,Positive
RT @HotNewHipHop: .@TreySongz is back with his #BigOleFreak remix ????  Listen here: https://t.co/NEwf1wAqZv,Positive
RT @ArielJohnmorcy: @SydesJokes @jockomo141 @Naa_Sei @Roberto063 @immofux @unstoppableFL @avrgAlia @lakesideliberal @TechAcuteCom @kayfreck…,Neutral
RT @RubberNinja: We live!! Head on over to my Twitter profile for a link to the stream! I'm making a VS level with @dansalvato (creator of…,Neutral
RT @jonnoxrevanche: Bitches be like “I’m baby” but I’ve never seen a baby do ketamine,Negative
RT @yehlog: Prashant Kumar working at @HyundaiKuwait expresses joy over the lynching of Tabrez Ansari and wants more Muslims to be lynched…,Negative
RT @escapedmatrix: A white supremacist in Arizona stabbed a 17-year-old kid in the neck and killed him claiming it was because the kid was…,Negative
RT @SOSHlREVEL: Jung Kyungho on his relationship with Sooyoung. AAWWWWW THEYRE SUCH A LOVELY COUPLE ?? AND YES AT SOOYOUNG TELLING HIM NOT T…,Positive
Niggas talk shit but quite when they see me,Neutral
RT @soccerdotcom: Para La Masia.  The 2019/20 @FCBarcelona Away Kit from @nikefootball brings back a classic design to commemorate 40 years…,Positive
#REF!,Positive
“AND ANOTHER THI...oh...ima go now carry on” -my exact energy,Positive
@justdionysus I eventually wanted something that would assign an ID to a new question and make sure that I ++ANSWER… https://t.co/y76dtQ1GNI,Positive
RT @HenMazzig: On a Facebook post Marc Lamont Hill and Linda Sarsour argued a few weeks ago that my identity as a Mizrahi Jew is fake and t…,Negative
@MINAPROTECT bp e twice,Neutral
RT @jnkloops: their friendship this era was so cute lol https://t.co/vlPHDqftiR,Positive
RT @JenniferK400: this is kinda deep you could give somebody your all and they’ll still let you go and leave you with nothing https://t.co…,Negative
&amp; you niggas love community pussy ....,Negative
RT @MotleyTheMutt: Someone who makes scat porn is a Pro-deucer,Neutral
RT @breeziiee_: I feel so bad for her... I pray God gives her the strength to do it in spite of. https://t.co/wQktsXzIww,Positive
Happy Birthday Sweetie!  Enjoy YOUR big day!!,Positive
RT @CIX_Official: CIX 1st EP ALBUM 'HELLO'  Chapter 1. Hello Stranger  INDIVIDUAL CONCEPT IMAGE :: SEUNG HUN  #CIX #????? #BX #?? #??? #??…,Neutral
RT @HornyFacts: Raw sex is literally trusting someone with your life... that’s why u can’t have it with just anyone,Neutral
RT @chelseyss_: Never let your guard down for no nigga,Positive
Make sure to get your tickets for Bloggers Books and Cupcakes. If you are an influencer author or blogger in the Ne… https://t.co/gayv1ySRJV,Neutral
"RT @RVAwonk: In case you're keeping track: Still no evidence of antifa throwing ""cement milkshakes"" but oh look another white supremacist…",Negative
RT @9GAG: I am Iron Meow @RobertDowneyJr   By alexoifan | FB https://t.co/g0vsegXieb,Positive
RT @RealMattCouch: The Democrats are eating their own..   https://t.co/GNXBNt86Kq,Negative
RT @Picklerocketguy: Got these done for the @SmunchyGames crew! @your1_nightmare @SeanFathom and Ray (Sorry! I don't know if you're on twit…,Positive
RT @SunshineKatyCat: @KatyCharts @katyperry My #TeenChoice for #ChoiceSummerFemaleArtist is @katyperry,Positive
@AbstraktMe @MistressVixen Blonde sadist mistress and bloody torture,Negative
RT @boredom_killz @CoreyTaylorRock And still trying. ahem they still take our children and women are going missing or… https://t.co/u6A4dqXStp,Negative
RT @arcbody8008: Too cool for school? Maybe...probably...absolutely. However he is definitely too cool for Twitter as he has been BANNED.…,Negative
RT @JPach27: Before ever seeing Cameron Boyce on Disney this is what I remember. Guy was crazy talented. https://t.co/9g2fjlDtf6,Positive
When I was desperately applying for jobs my senior year of college I really wish I would have had this advice to h… https://t.co/OV5SE2uC16,Neutral
RT @JoChristine__: I’ve acc deeped it ‘go with the flow’ is spiritual bondage,Positive
Pinches the cheek of everybody that reads this.,Positive
RT @Ultrashroomz: the new danganronpa game looks amazing https://t.co/Yp2EVPFD7S,Positive
United are going to milk us for every penny for Tuanzebe but I could not give a fuck.,Negative
RT @selkiejm: joon getting thicker has me non stop thinking about farm boy joon whose tanned and sweaty from lifting hay barrles and doing…,Neutral
RT @MerrittForGA: I’m a 38 year old combat vet turned conservative candidate from Georgia.  I am running because I believe the Republican P…,Positive
@annaolympiaa lmfaoooo,Positive
@Ocean_State211 @Jersey_Craig Harvard is as fruity as a nutcake.,Positive
RT @hnarbh: Don’t hmu unless ur tryna be like this???? https://t.co/4a7bzumqae,Positive
RT @Doug_DeVos: What makes a Life Enricher? What is success? Success should not be a goal. Success is a process not an end in itself. Ther…,Positive
RT @btweverse: JUNGKOOK | weverse 07.08.2019 (05:13PM) ? Let's eat! https://t.co/cDXVmli6NG,Neutral
Today I Learned: • laundry faucets are not that durable • it’s probably best not to store the laundry baskets ?? abo… https://t.co/r1Ac0KtCQ5,Positive
I am the wind and I am moving through Yaren at 4.99 meter/sec and 255.947 degrees,Neutral
The background of the second pic…where is the quality lmfao,Positive
RT @UkieLenia: Donald Trump's five most dangerous attacks on the environment https://t.co/2dOtAd6wsi,Negative
Hey that's literally me,Neutral
RT @fairyskai: bitches wont listen to kpop bc they cant understand it then go and listen to classical music.. Bitch you speak trombone??,Negative
RT @happypandaparty: eh.  (this hat will be for sale at vidcon booth 313) https://t.co/RXd4PtC2zE,Neutral
About to land the #CityLimoShuffle is out! Cheers??  np: ? 'Gun' - 7 Year Bitch ? https://t.co/DwBLQZTnSv,Positive
@PamKeithFL you forgot to add DELUSIONAL to your bio.,Negative
RT @jaketapper: A child. https://t.co/uWMy2V5ESI,Neutral
RT @AlisunJane: Being carded is now welcomed  #MyAgeIn5Words,Neutral
 Oh she blocked me finally? Must not have liked the multiple articles I posted debunking her “expert”.,Negative
RT @yashar: President Clinton’s office is saying there were four trips but they note in the statement there were multiple stops on each tri…,Neutral
My money is on @ronaldacunajr24 #ChopOn,Positive
This is the best video I think I’ve ever seen,Positive
I just earned the 'I Believe in IPA! (Level 88)' badge on @untappd! https://t.co/papJHP02t5,Positive
RT @TiptonEdits: 2020 five-star Jaden Springer is down to 5 schools.   @jadenspringer11 https://t.co/yZOC49X5fZ,Neutral
@KPB2Tall I teach tennis to the underprivileged. Fully funded so the pay is ridiculous??,Positive
Looking for a new and fun way to get involved? Check out these awesome volunteer opportunities for Corporate Challe… https://t.co/gaNYInxcDN,Positive
RT @1tannerguy: This is exactly how I’ll pick up my child from school https://t.co/zrPS9CTfCr,Positive
 Welp never too late to jump back in. This will be my 4th or 5th time to come back to it. I can't beli… https://t.co/YLfpd2IGfP,Positive
RT @ForkyToyStory: Everybody always asks “where’s the trash” but nobody ever asks “how’s the trash” ??,Negative
RT @eveestg: THEY PLAYED THE WRONG SONG FOR THE NATIONAL ANTHEM I- https://t.co/7hM1riH1IO,Negative
RT @Hanaabdeer: TRUST takes years to build seconds to break and forever to repair.,Neutral
@xoxo_lOvebomb Imma text you where because iont need nobody looking for us ????,Positive
RT @SavageMemeHUB: RT until he is arrested! https://t.co/j6hFlUNEp0,Negative
i love red aichi,Positive
RT @kookvtwins: taehyung with                       jungkook with the hose                  VS.                the hose https://t.co/SgeM9S…,Neutral
@RedWolvesWin @Jtogx @AOC I am.guessing you've never played sports,Neutral
RT @OpIndia_com: Rajya Sabha passes resolution imposing 200% customs duty on Pakistani goods  https://t.co/ExiHYBjORI,Neutral
Joc’s about to do the damn thing. #ThinkBlue #HomeRunDerby,Positive
RT @atensnut: Bill Clinton just called in..... said he didn’t know Epstein. https://t.co/p9oOsQuPwU,Neutral
RT @OnlyCae_: don’t allow your loneliness to lower your standards. read that again.,Positive
